# x y z roll pitch yaw d_left d_right
-6.000000 2.598076 0.350000 0.000000 0.000000 -2.617994 1.000000 1.000000
-6.177579 2.487113 0.350000 0.000000 0.000000 -2.548181 1.000000 1.000000
-6.346984 2.364032 0.350000 0.000000 0.000000 -2.478368 1.000000 1.000000
-6.507392 2.229434 0.350000 0.000000 0.000000 -2.408554 1.000000 1.000000
-6.658019 2.083975 0.350000 0.000000 0.000000 -2.338741 1.000000 1.000000
-6.798133 1.928363 0.350000 0.000000 0.000000 -2.268928 1.000000 1.000000
-6.927051 1.763356 0.350000 0.000000 0.000000 -2.199115 1.000000 1.000000
-7.044144 1.589758 0.350000 0.000000 0.000000 -2.129302 1.000000 1.000000
-7.148843 1.408415 0.350000 0.000000 0.000000 -2.059489 1.000000 1.000000
-7.240636 1.220210 0.350000 0.000000 0.000000 -1.989675 1.000000 1.000000
-7.319078 1.026060 0.350000 0.000000 0.000000 -1.919862 1.000000 1.000000
-7.383785 0.826912 0.350000 0.000000 0.000000 -1.850049 1.000000 1.000000
-7.434443 0.623735 0.350000 0.000000 0.000000 -1.780236 1.000000 1.000000
-7.470804 0.417519 0.350000 0.000000 0.000000 -1.710423 1.000000 1.000000
-7.492692 0.209269 0.350000 0.000000 0.000000 -1.640609 1.000000 1.000000
-7.500000 0.000000 0.350000 0.000000 0.000000 -1.570796 1.000000 1.000000
-7.492692 -0.209269 0.350000 0.000000 0.000000 -1.500983 1.000000 1.000000
-7.470804 -0.417519 0.350000 0.000000 0.000000 -1.431170 1.000000 1.000000
-7.434443 -0.623735 0.350000 0.000000 0.000000 -1.361357 1.000000 1.000000
-7.383785 -0.826912 0.350000 0.000000 0.000000 -1.291544 1.000000 1.000000
-7.319078 -1.026060 0.350000 0.000000 0.000000 -1.221730 1.000000 1.000000
-7.240636 -1.220210 0.350000 0.000000 0.000000 -1.151917 1.000000 1.000000
-7.148843 -1.408415 0.350000 0.000000 0.000000 -1.082104 1.000000 1.000000
-7.044144 -1.589758 0.350000 0.000000 0.000000 -1.012291 1.000000 1.000000
-6.927051 -1.763356 0.350000 0.000000 0.000000 -0.942478 1.000000 1.000000
-6.798133 -1.928363 0.350000 0.000000 0.000000 -0.872665 1.000000 1.000000
-6.658019 -2.083975 0.350000 0.000000 0.000000 -0.802851 1.000000 1.000000
-6.507392 -2.229434 0.350000 0.000000 0.000000 -0.733038 1.000000 1.000000
-6.346984 -2.364032 0.350000 0.000000 0.000000 -0.663225 1.000000 1.000000
-6.177579 -2.487113 0.350000 0.000000 0.000000 -0.593412 1.000000 1.000000
-6.000000 -2.598076 0.350000 0.000000 0.000000 -0.523599 1.000000 1.000000
-5.815113 -2.696382 0.350000 0.000000 0.000000 -0.453786 1.000000 1.000000
-5.623820 -2.781552 0.350000 0.000000 0.000000 -0.383972 1.000000 1.000000
-5.427051 -2.853170 0.350000 0.000000 0.000000 -0.314159 1.000000 1.000000
-5.225766 -2.910887 0.350000 0.000000 0.000000 -0.244346 1.000000 1.000000
-5.020945 -2.954423 0.350000 0.000000 0.000000 -0.174533 1.000000 1.000000
-4.813585 -2.983566 0.350000 0.000000 0.000000 -0.104720 1.000000 1.000000
-4.604698 -2.998172 0.350000 0.000000 0.000000 -0.034907 1.000000 1.000000
-4.395302 -2.998172 0.350000 0.000000 0.000000 0.034907 1.000000 1.000000
-4.186415 -2.983566 0.350000 0.000000 0.000000 0.104720 1.000000 1.000000
-3.979055 -2.954423 0.350000 0.000000 0.000000 0.174533 1.000000 1.000000
-3.774234 -2.910887 0.350000 0.000000 0.000000 0.244346 1.000000 1.000000
-3.572949 -2.853170 0.350000 0.000000 0.000000 0.314159 1.000000 1.000000
-3.376180 -2.781552 0.350000 0.000000 0.000000 0.383972 1.000000 1.000000
-3.184887 -2.696382 0.350000 0.000000 0.000000 0.453786 1.000000 1.000000
-3.000000 -2.598076 0.350000 0.000000 0.000000 0.523599 1.000000 1.000000
-2.822421 -2.487113 0.350000 0.000000 0.000000 0.593412 1.000000 1.000000
-2.653016 -2.364032 0.350000 0.000000 0.000000 0.663225 1.000000 1.000000
-2.492608 -2.229434 0.350000 0.000000 0.000000 0.733038 1.000000 1.000000
-2.341981 -2.083975 0.350000 0.000000 0.000000 0.802851 1.000000 1.000000
-2.201867 -1.928363 0.350000 0.000000 0.000000 0.872665 1.000000 1.000000
-2.072949 -1.763356 0.350000 0.000000 0.000000 0.942478 1.000000 1.000000
-1.955856 -1.589758 0.350000 0.000000 0.000000 1.012291 1.000000 1.000000
-1.851157 -1.408415 0.350000 0.000000 0.000000 1.082104 1.000000 1.000000
-1.759364 -1.220210 0.350000 0.000000 0.000000 1.151917 1.000000 1.000000
-1.680922 -1.026060 0.350000 0.000000 0.000000 1.221730 1.000000 1.000000
-1.616215 -0.826912 0.350000 0.000000 0.000000 1.291544 1.000000 1.000000
-1.565557 -0.623735 0.350000 0.000000 0.000000 1.361357 1.000000 1.000000
-1.529196 -0.417519 0.350000 0.000000 0.000000 1.431170 1.000000 1.000000
-1.507308 -0.209269 0.350000 0.000000 0.093169 0.091924 1.000000 1.000000
